"NUM_CORR_ACI","SIGLA_ACO","P_MIN","P_MAX","C_VIS","P_GUSA","SI_GUSA","cbs","pbs","cp1","pp1","CAL","CALCARIO","DOLCA","DOLCR","NEFE","CAO_INPUT","MGO_INPUT","NEFE_REAL","SUCATA_TOTAL","CARGA_LIQUIDA","PS_TA","sep1","TFS","TPAN"
"491516","24JDAA000100010099",0.00,10.00,0.10,107.00,25.00,,,2.17,10.83,3558.00,1043.00,3432.00,2887.00,151.00,6493.09,1882.27,0.00,30700.00,158610.00,2200.00,"***",,1623.00
"491517","24JDAA000100010099",0.00,10.00,0.10,102.00,27.00,,,1.88,11.58,4823.00,789.00,4748.00,334.00,145.00,7316.49,1907.56,0.00,30600.00,159510.00,2500.00,"***",,1629.00
"491518","24JDAA000100010099",0.00,10.00,0.10,108.00,48.00,,,3.29,11.58,5749.00,0.00,6124.00,332.00,220.00,8395.65,2368.13,0.00,30900.00,157810.00,1900.00,"***",,1627.00
"491519","24JDAA000100010099",0.00,10.00,0.10,103.00,50.00,,,3.17,8.41,5743.00,0.00,6293.00,338.00,214.00,8473.17,2424.68,0.00,30500.00,157610.00,2200.00,"***",,1628.00
"491520","MBA2AA000150010099",0.00,15.00,0.15,92.00,18.00,,,3.65,9.06,3573.00,0.00,5031.00,330.00,0.00,5846.67,1898.28,0.00,37000.00,153110.00,8800.00,"***",,1630.00
"491521","24JDAA000100010099",0.00,10.00,0.10,108.00,31.00,3.36,13.26,2.38,9.84,3717.00,1037.00,4507.00,1417.00,154.00,6668.50,1980.07,0.00,30200.00,157810.00,2200.00,"***",1703.00,1656.00
"491523","24JDAA000100010099",0.00,10.00,0.10,98.00,39.00,,,2.42,7.24,3877.00,1043.00,4515.00,2400.00,152.00,7148.89,2167.95,0.00,30300.00,157810.00,2600.00,"***",,1625.00
"491524","MBA2AA000150010099",0.00,15.00,0.15,110.00,41.00,,,2.68,9.09,5155.00,0.00,5901.00,332.00,187.00,7736.19,2264.84,0.00,36900.00,152610.00,2300.00,"***",,1607.00
"491525","MBA2AA000150010099",0.00,15.00,0.15,110.00,40.00,,,2.40,9.14,5064.00,0.00,5830.00,329.00,187.00,7616.49,2236.32,0.00,37200.00,152410.00,2100.00,"***",,
"491526","GXCHAS016000145099",0.00,25.00,16.00,98.00,24.00,,,12.51,14.19,3448.00,572.00,3209.00,706.00,398.00,5300.26,1387.05,0.00,29800.00,152410.00,2000.00,"***",1671.00,1617.00
"491527","JYCHAS0140000860X9",0.00,25.00,14.00,107.00,24.00,3.75,16.82,10.48,18.09,3589.00,0.00,5007.00,342.00,116.00,5853.99,1893.32,0.00,35400.00,144410.00,100.00,"***",1674.00,1631.00
"491528","JYCHAS0140000860X9",0.00,25.00,14.00,93.00,33.00,10.31,29.08,12.47,25.76,4010.00,581.00,3599.00,2602.00,205.00,6640.84,1885.58,0.00,28200.00,159210.00,1600.00,"***",1666.00,1622.00
"491529","84D1AS000150050099",0.00,30.00,0.15,106.00,22.00,,,2.43,9.71,2234.00,0.00,4980.00,341.00,0.00,4580.55,1816.48,0.00,30300.00,152510.00,2000.00,"***",,1656.00
"491530","84D1AS000150050099",0.00,30.00,0.15,109.00,25.00,4.68,18.11,3.38,8.34,2383.00,0.00,4990.00,338.00,0.00,4722.93,1826.69,0.00,30800.00,154510.00,3200.00,"***",1654.00,1606.00
"491531","JYCHAS0140000860X9",0.00,25.00,14.00,99.00,32.00,,,10.49,18.49,3684.00,572.00,4406.00,1691.00,176.00,6419.35,1971.16,0.00,26500.00,154410.00,3000.00,"***",1670.00,1631.00
"491533","84D1AS000150050099",0.00,30.00,0.15,108.00,32.00,,,2.77,9.73,2205.00,572.00,3314.00,3340.00,0.00,5063.89,1833.67,0.00,20700.00,155000.00,3200.00,"***",1661.00,1617.00
"491534","84D1AS000150050099",0.00,30.00,0.15,113.00,30.00,,,,,2234.00,575.00,3804.00,2686.00,0.00,5111.92,1879.25,0.00,25900.00,155010.00,1100.00,"***",,1630.00
"491535","84D1AS000150050099",0.00,30.00,0.15,108.00,30.00,,,2.65,11.18,2174.00,575.00,3797.00,2613.00,0.00,5028.67,1860.80,0.00,26900.00,155000.00,0.00,"***",,1658.00
"491536","QECDAA0090000360X9",0.00,25.00,9.00,111.00,34.00,,,,,4438.00,0.00,5123.00,328.00,0.00,6694.62,1971.53,0.00,29070.00,154900.00,0.00,"***",,
"491538","PLZ1AS000150105099",60.00,80.00,0.15,92.00,28.00,,,2.14,21.37,3255.00,0.00,5086.00,337.00,0.00,5579.64,1901.79,0.00,36900.00,152000.00,7800.00,"***",,
"491539","PLZ1AS000150105099",60.00,80.00,0.15,103.00,26.00,,,2.16,17.80,2023.00,0.00,4997.00,0.00,0.00,4279.95,1750.16,0.00,36900.00,151900.00,0.00,"***",1682.00,1642.00
"491540","DDCHAA0110000360X9",0.00,25.00,11.00,102.00,25.00,2.37,16.75,5.12,16.57,2023.00,0.00,5148.00,333.00,0.00,4462.32,1859.93,0.00,38800.00,152210.00,7200.00,"***",1678.00,1656.00
"491541","DDCHAA0090000360X9",0.00,25.00,9.00,102.00,27.00,6.34,15.45,8.79,15.26,3780.00,555.00,4537.00,343.00,0.00,6117.15,1775.70,0.00,26400.00,157810.00,4200.00,"***",1664.00,
"595242","MBA2AA000150010099",0.00,15.00,0.15,109.00,47.00,,,2.54,8.48,5910.00,0.00,6189.00,0.00,0.00,8467.02,2337.87,0.00,31500.00,158110.00,4000.00,"***",1675.00,1618.00
"595243","24JDAA000100010099",0.00,10.00,0.10,109.00,37.00,5.65,9.41,2.61,7.58,6407.00,0.00,5424.00,0.00,0.00,8562.03,2110.27,0.00,30700.00,158500.00,2200.00,"***",,1635.00
"595244","24JDAA000100010099",0.00,10.00,0.10,109.00,35.00,3.22,12.91,,,4612.00,0.00,5670.00,0.00,0.00,7010.76,2101.70,0.00,28400.00,158000.00,1700.00,"***",1693.00,1620.00
"595245","24JDAA000100010099",0.00,10.00,0.10,106.00,42.00,,,2.36,5.90,6045.00,0.00,3535.00,0.00,0.00,7318.65,1468.80,0.00,30300.00,158110.00,2100.00,"***",1674.00,1609.00
"595246","24JDAA000100010099",0.00,10.00,0.10,105.00,64.00,3.26,8.84,,,5783.00,971.00,214.00,1907.00,0.00,6653.98,751.58,0.00,25000.00,158110.00,2400.00,"***",1680.00,1609.00
"595247","MBA2AA000150010099",0.00,15.00,0.15,111.00,34.00,,,,,4383.00,0.00,5390.00,211.00,0.00,6733.02,2035.83,0.00,37100.00,152610.00,8000.00,"***",1685.00,1603.00
"595248","GXCAAS016000145099",0.00,25.00,16.00,107.00,34.00,2.48,7.51,15.24,9.78,6257.00,508.00,2236.00,2437.00,0.00,7980.98,1514.79,0.00,25500.00,153310.00,0.00,"***",1656.00,1606.00
"595249","GXCHAS018000145099",0.00,25.00,18.00,95.00,19.00,3.17,15.33,13.09,14.95,2810.00,0.00,3282.00,0.00,0.00,4188.66,1223.56,0.00,25800.00,155310.00,2100.00,"***",1692.00,1533.00
"595250","GXCHAS018000145099",0.00,25.00,18.00,95.00,19.00,2.95,12.33,,,2725.00,0.00,3151.00,0.00,0.00,4046.73,1176.08,0.00,25300.00,153910.00,1800.00,"***",1687.00,1551.00
"595252","MBA2AA000150010099",0.00,15.00,0.15,104.00,20.00,3.32,13.44,2.07,8.60,3438.00,0.00,5140.00,206.00,0.00,5732.52,1905.18,0.00,32600.00,139210.00,5200.00,"***",1687.00,1613.00
"595254","JYCHAS0140000860X9",0.00,25.00,14.00,113.00,29.00,,,5.92,23.39,3844.00,0.00,5604.00,0.00,0.00,6264.84,2041.52,0.00,30000.00,145810.00,0.00,"***",,1674.00
"595255","JYCHAS0140000860X9",0.00,25.00,14.00,112.00,41.00,8.15,20.90,12.41,20.87,5518.00,0.00,5619.00,0.00,0.00,7828.86,2130.17,0.00,32500.00,154700.00,0.00,"***",1686.00,1621.00
"595256","JYCHAS0140000860X9",0.00,25.00,14.00,103.00,28.00,8.04,26.62,12.31,25.44,4006.00,0.00,5259.00,0.00,0.00,6249.90,1935.77,0.00,31500.00,154510.00,3300.00,"***",1679.00,1638.00
"595257","JYCHAS0140000860X9",0.00,25.00,14.00,104.00,34.00,7.88,15.13,10.69,14.16,4252.00,0.00,5428.00,0.00,0.00,6559.80,2003.84,0.00,30200.00,154410.00,600.00,"***",1670.00,1609.00
"595258","AACHAA0120000360X9",0.00,25.00,12.00,111.00,46.00,,,6.56,16.22,5741.00,0.00,6102.00,217.00,0.00,8339.70,2339.77,0.00,30700.00,154410.00,0.00,"***",1672.00,1641.00
"595259","DDCHAA0090000360X9",0.00,25.00,9.00,102.00,33.00,,,6.60,14.40,5504.00,0.00,5180.00,224.00,0.00,7679.04,2024.92,0.00,30300.00,154510.00,5000.00,"***",1669.00,1623.00
"595262","QECDAA0090000360X9",0.00,25.00,9.00,104.00,31.00,2.86,21.64,,,2953.00,507.00,2218.00,4678.00,0.00,5638.59,1746.98,0.00,16600.00,179710.00,0.00,"***",1666.00,1558.00
"595263","AACHAA0120000360X9",0.00,25.00,12.00,102.00,28.00,,,5.49,9.57,3981.00,0.00,4871.00,221.00,0.00,6113.34,1846.26,0.00,30300.00,154710.00,8000.00,"***",,1636.00
"595264","AACHAA0120000360X9",0.00,25.00,12.00,93.00,26.00,,,6.43,11.05,3382.00,0.00,4515.00,0.00,0.00,5312.46,1659.05,0.00,43000.00,145010.00,0.00,"***",,1648.00
"595265","AACHAA0120000360X9",0.00,25.00,12.00,109.00,26.00,,,9.20,10.53,3854.00,0.00,5242.00,228.00,0.00,6175.62,1963.60,0.00,43100.00,145510.00,8600.00,"***",,1637.00
"595267","PLZ1AS000150105099",60.00,80.00,0.15,106.00,23.00,,,1.79,10.50,4788.00,516.00,2128.00,0.00,0.00,5763.24,967.44,0.00,26000.00,157910.00,3000.00,"***",,1627.00
"491542","DDCHAA0090000360X9",0.00,25.00,9.00,111.00,45.00,7.24,12.84,9.52,13.24,5146.00,0.00,5919.00,340.00,0.00,7739.10,2271.77,0.00,32600.00,150510.00,4400.00,"***",1672.00,1649.00
"491543","DDCHAA0090000360X9",0.00,25.00,9.00,108.00,43.00,4.94,10.37,6.13,11.27,4930.00,0.00,5785.00,338.00,0.00,7473.24,2216.39,0.00,37000.00,150610.00,0.00,"***",1661.00,1645.00
"491544","FVZ1AA000150064099",20.00,35.00,0.15,104.00,22.00,,,3.59,14.66,3718.00,0.00,4733.00,341.00,0.00,5842.11,1809.17,0.00,32600.00,150610.00,8400.00,"***",,1653.00
"491545","FVZ1AA000150064099",20.00,35.00,0.15,104.00,16.00,4.41,22.78,3.32,16.13,2388.00,0.00,4748.00,0.00,0.00,4499.88,1686.24,0.00,31700.00,158110.00,8300.00,"***",1665.00,1618.00
"491546","FVZ1AA000150064099",20.00,35.00,0.15,104.00,14.00,4.00,17.49,2.88,13.93,2168.00,580.00,4465.00,1379.00,0.00,4939.31,1859.07,0.00,30500.00,157910.00,300.00,"***",1693.00,1624.00
"491547","FVZ1AA000150064099",20.00,35.00,0.15,106.00,15.00,,,,,2427.00,0.00,4751.00,341.00,0.00,4650.12,1750.56,0.00,31800.00,157610.00,6100.00,"***",,
