NUM_CORR_ACI;TEMPO_INIC_SOPRO_LD;DT_PRODC_OBTD_ACI;GRAU;CD_SOP;CD_PDR_O2;TGUSA;MED_TGUSA;TP_CORR;T_1INTER;T_2INTER;T_FS;T_VAZAMENTO;VOL_RESS;PERC_SUCATA
495358;31/10/2014;01/11/2014;AC;50;3;1127;1700;AC S >  6;1616;1701;1676;1642;0;19.2
495359;31/10/2014;01/11/2014;AC;50;3;1261;1815;AC S >  6;1535;1677;1640;1640;0;19.5
495360;31/10/2014;01/11/2014;AA;03;3;1241;1926;UBC;1549;1627;0;0;0;15.9
599019;31/10/2014;01/11/2014;AC;17;3;1333;1952;AC S >  6;1567;1666;0;0;0;22.2
495361;31/10/2014;01/11/2014;AA;03;3;1238;2016;UBC;1574;1638;0;0;0;16.3
599020;31/10/2014;01/11/2014;AA;17;3;1332;2043;UBC;1558;0;1694;1694;0;14.8
495362;31/10/2014;01/11/2014;AA;03;3;1334;2102;UBC;1621;1657;1693;1684;0;16.5
599021;31/10/2014;01/11/2014;AA;17;3;1341;2121;UBC;1601;1677;1669;1669;0;19.9
495363;31/10/2014;01/11/2014;AA;03;3;1332;2146;UBC;1569;1678;0;0;0;19.4
599022;31/10/2014;01/11/2014;AA;21;3;1335;2208;UBC;1651;0;0;0;0;16.1
495364;31/10/2014;01/11/2014;AA;01;3;1357;2230;UBC;1591;0;1675;1661;0;19.6
599023;31/10/2014;01/11/2014;AA;21;3;1320;2259;UBC;1566;1615;1677;1677;0;19.6
599024;01/11/2014;01/11/2014;AA;21;3;1353;2335;UBC;1578;0;1678;1678;0;19.8
599025;01/11/2014;01/11/2014;AA;21;3;1369;15;AA S >  6;1652;0;1640;1640;710;19.5
495365;01/11/2014;01/11/2014;AA;01;3;1323;53;AA S >  6;1581;1686;1636;1636;980;22.8
599026;01/11/2014;01/11/2014;AA;21;3;1350;0;AA S >  6;1607;0;1701;1681;0;22.5
495366;01/11/2014;01/11/2014;AA;01;3;1318;201;AA S >  6;1565;0;1630;1619;710;22.9
599027;01/11/2014;01/11/2014;AA;21;3;1402;232;Duplo refino LF;1577;1663;0;0;0;14.2
599028;01/11/2014;01/11/2014;AA;21;3;1294;301;AA S >  6;1607;0;0;0;0;22.4
495367;01/11/2014;01/11/2014;AA;27;3;1314;318;AA S >  6;1590;1696;0;0;0;22.4
599029;01/11/2014;01/11/2014;AA;21;3;1426;351;Duplo refino LF;1557;1640;0;0;0;14.4
495368;01/11/2014;01/11/2014;AA;01;3;1323;415;AA S >  6;1696;0;1654;1654;0;22.6
599030;01/11/2014;01/11/2014;AA;27;3;1324;453;Duplo refino LF;1608;0;1691;1691;0;14.2
495369;01/11/2014;01/11/2014;AA;01;3;1341;514;AA S >  6;1589;1681;0;0;0;22.7
599031;01/11/2014;01/11/2014;AA;27;3;1323;540;Duplo refino LF;1602;0;1684;1684;0;14.2
495370;01/11/2014;01/11/2014;AA;35;3;1317;608;AA S >  6;1712;0;1663;1663;0;0
599032;01/11/2014;01/11/2014;AA;49;3;1235;644;Duplo refino LF;1609;0;1690;1678;0;14.1
495371;01/11/2014;01/11/2014;AA;35;3;1275;703;AA S >  6;1562;0;0;0;0;16.5
495372;01/11/2014;01/11/2014;AA;35;3;1337;817;AA S >  6;1665;0;0;0;0;22.4
495373;01/11/2014;01/11/2014;AA;35;1;1383;901;UBC;1628;1699;1672;1672;0;19.8
599033;01/11/2014;01/11/2014;AA;35;1;1304;730;UBC;1600;1677;0;0;570;19.5
495374;01/11/2014;01/11/2014;AA;35;1;1363;1037;UBC;1611;0;0;0;0;19.5
599034;01/11/2014;01/11/2014;AA;28;1;1291;943;UBC;0;0;0;0;980;19.2
495375;01/11/2014;01/11/2014;AA;49;1;1260;0;UBC;1683;0;0;0;0;19.3
599035;01/11/2014;01/11/2014;AA;49;1;1256;1152;UBC;1565;1653;0;0;0;19.8
495376;01/11/2014;01/11/2014;AA;35;1;1310;1227;UBC;1592;1681;0;0;0;19.8
