NUM_CORR_ACI;SIGLA_ACO;COD_TPAO;CLS_DARDO;CONS_AL;P;P_MAX
488907;JYCHAS0220001010X9;2;sem dardo;991;19.957;25
488927;AAC1AA0040000210X9;1;com dardo;741;15.915;25
488914;GXCCAS018000145099;5;sem dardo;736;26.825;25
488936;MOCBAS016000136099;1;com dardo;401;22.64;25
488970;24JDAA000100010099;1;com dardo;435;10.677;10
488941;JYCHAS0140000860X9;2;sem dardo;256;29.082;25
488948;7CBBAS012000115099;2;sem dardo;1552;18.455;20
488990;IOCBAS023000120099;1;com dardo;429;19.365;25
489019;MBA2AA000150010099;6;sem dardo;440;13.87;15
489001;GXCHAS018000145099;2;sem dardo;526;21.635;25
489060;VJQ1AA000150015099;6;sem dardo;699;5.15;12
489072;YUCBAA009000153099;1;com dardo;721;12.045;25
489104;DDC1AA0160000560X9;2;sem dardo;890;16.195;25
489108;62D2AC0030000260X9;2;sem dardo;285;19.747;30
489125;AAC3AA0040000210X9;1;com dardo;695;12.08;25
489128;MBA2AA000150010099;6;sem dardo;374;12.66;15
489173;GWCHAA008000086099;2;sem dardo;1074;19.14;25
489174;FVZ1AA000150064099;2;sem dardo;941;33.057;35
489175;FVZ1AA000150064099;2;sem dardo;557;27.065;35
489148;FVZ1AA000150064099;2;sem dardo;737;30.968;35
489154;GXCHAS016000145099;1;com dardo;350;26.855;25
489186;MBA2AA000150010099;2;sem dardo;802;13.412;15
489192;VJQ1AA000150015099;1;com dardo;836;12.42;12
489182;DDCHAA0110000360X9;2;sem dardo;428;15.82;25
489183;24JDAA000100010099;6;sem dardo;591;6.225;10
489207;TNZ2AA000180056099;6;sem dardo;630;43.467;50
489216;MBA2AA000150010099;2;sem dardo;308;12.105;15
489252;VJQ1AA000150015099;2;sem dardo;586;7.35;12
489257;VJQ1AA000150015099;2;sem dardo;1219;12.755;12
489273;JYCBAS0160001060X9;2;sem dardo;573;18.64;25
489312;AAC3AA0040000210X9;2;sem dardo;1002;12.845;25
489298;31Z2AA000230026099;2;sem dardo;1317;25.35;35
489401;MBA2AA000150010099;2;sem dardo;561;11.01;15
489429;24JDAA000100010099;2;sem dardo;531;13.955;10
489445;24JDAA000100010099;2;sem dardo;664;8.23;10
489447;24JDAA000100010099;1;com dardo;326;8.145;10
489451;24JDAA000100010099;1;com dardo;745;9.41;10
489487;32Z2AA000190056099;2;sem dardo;504;50.45;50
489527;24JDAA000100010099;6;sem dardo;380;8.92;10
489545;21Q1AA000100010099;1;com dardo;916;8.675;12
489558;DDC1AA0160000360X9;2;sem dardo;880;19.68;25
489593;MBA2AA000150010099;2;sem dardo;601;11.975;15
489627;VJQ1AA000150015099;2;sem dardo;409;12.055;12
489624;VJQ1AA000150015099;2;sem dardo;409;12.13;12
489621;MBA2AA000150010099;6;sem dardo;316;13.91;15
489615;MBA2AA000150010099;6;sem dardo;645;9.99;15
489655;21Q1AA000100010099;6;sem dardo;553;14.075;12
489688;MBA2AA000150010099;6;sem dardo;609;10.952;15
489673;31Z2AA000230026099;6;sem dardo;936;30.15;35
489694;MBA2AA000150010099;6;sem dardo;310;11.19;15
489745;MBA2AA000150010099;1;com dardo;345;12.242;15
489736;MBA2AA000150010099;2;sem dardo;655;10.758;15
489762;VJQ1AA000150015099;2;sem dardo;298;9.977;12
489767;24JDAA000100010099;2;sem dardo;537;8.44;10
489811;VJQ1AA000150015099;2;sem dardo;654;11.207;12
489832;MBA2AA000150010099;6;sem dardo;437;10.985;15
489824;MBA2AA000150010099;1;com dardo;873;7.73;15
489825;24JDAA000100010099;6;sem dardo;1073;12.465;10
489830;MBA2AA000150010099;6;sem dardo;320;8.845;15
489850;24JDAA000100010099;6;sem dardo;422;14.257;10
489858;MBA2AA000150010099;6;sem dardo;453;9.38;15
489881;MBA2AA000150010099;6;sem dardo;462;15.237;15
489882;24JDAA000100010099;6;sem dardo;716;9.785;10
489909;KHCEAA0160000560X9;2;sem dardo;1168;20.157;25
489875;MBA2AA000150010099;6;sem dardo;913;8.113;15
489939;DDC1AA0120000860X9;5;sem dardo;1084;30.255;25
489968;TGCDAA008000061099;5;sem dardo;665;19.483;25
489969;DGC2AA003000021099;5;sem dardo;748;20.55;25
490029;VJQ1AA000150015099;5;sem dardo;391;13.695;12
490033;VCBCAA007000170099;2;sem dardo;946;20.255;20
490043;7NNEAS015000100099;1;com dardo;686;20.365;22
490046;AACHAA0120000360X9;1;com dardo;762;17.498;25
490094;JYCHAS0220001010X9;1;com dardo;1073;20.668;25
490108;DGC2AA006000040099;1;com dardo;734;14.475;25
490128;VJQ1AA000150015099;2;sem dardo;444;15.708;12
490105;GXCHAS016000145099;2;sem dardo;320;23.643;25
490170;7NNEAS015000100099;2;sem dardo;445;18.8;22
490204;DGC2AA003000021099;2;sem dardo;410;18.84;25
490177;GBNHAS0450001260X9;1;com dardo;468;14.093;22
490209;DGC2AA003000021099;1;com dardo;515;15.073;25
490234;24JDAA000100010099;2;sem dardo;410;8.427;10
490240;FVZ1AA000150064099;2;sem dardo;903;29.972;35
490241;FVZ1AA000150064099;2;sem dardo;801;32.135;35
490242;FVZ1AA000150064099;2;sem dardo;674;28.19;35
490293;RJZHAS014000130099;1;com dardo;1064;34.01;50
490356;DDC1AA0130001200X9;1;com dardo;169;25.07;25
490347;24JDAA000100010099;2;sem dardo;958;10.428;10
490377;JYCHAS0160001260X9;2;sem dardo;548;22.705;25
490422;AACHAA0120000360X9;1;com dardo;595;23.96;25
490445;AACDAA0110001510X9;2;sem dardo;984;19.2;25
490446;GXCHAS018000145099;2;sem dardo;538;22.46;25
