NUM_CORR_ACI;COD_LOCAL_EVENTO_ACI;NUM_TRAT_ACO_PAN;MES;AL_CAS;GRAU;TRAT;S_MAX
486210;OB2;1;201309;184;AC;C1;15
486314;OB1;1;201309;787;AA;C1;4
486357;OB1;1;201309;286;AA;C1;9
486368;OB1;1;201309;251;AA;C1;10
486375;OB2;1;201309;224;AA;C1;10
486438;OB2;1;201309;465;AS;F1;9
486446;OB2;1;201309;232;AS;C1;9
486481;OB1;1;201309;211;AA;C1;10
486484;OB1;1;201309;0;AA;C1;10
486487;OB2;1;201309;190;AS;C1;8
486527;OB1;1;201309;457;AS;C7;9
486533;OB1;1;201309;384;AA;C1;8
486536;OB1;1;201309;252;AA;C1;8
486545;OB1;1;201309;1102;AA;F1;4
486585;OB1;1;201309;431;AA;C1;10
486602;OB2;1;201309;362;AA;C1;15
486649;OB2;1;201309;393;AS;F1;9
486650;OB1;1;201309;606;AS;F1;9
486665;OB1;1;201309;0;AS;C1;9
486668;OB2;1;201309;282;AS;C1;3
486733;OB2;1;201309;151;AA;C1;8
486770;OB1;1;201309;210;AA;C1;20
486771;OB2;1;201309;37;AA;C1;15
486783;OB2;1;201309;352;AS;C7;9
486786;OB2;1;201309;600;AA;C1;15
486789;OB2;1;201309;418;AA;C1;10
486804;OB1;1;201309;995;AS;C1;6
486822;OB2;1;201309;345;AA;C1;9
486881;OB1;1;201309;296;AA;C1;10
486919;OB2;1;201309;397;AA;C1;9
486964;OB1;1;201310;696;AA;C1;10
487040;OB2;1;201310;66;AA;C1;10
487047;OB1;2;201310;203;AA;C8;8
487047;OB2;1;201310;514;AA;C8;8
487057;OB1;1;201310;768;AA;C1;4
487074;OB2;1;201310;707;AA;C1;4
487092;OB1;1;201310;392;AS;F1;3
487158;OB1;1;201310;491;AA;C1;10
487163;OB1;1;201310;251;AA;C1;10
487165;OB2;1;201310;303;AA;C1;10
487226;OB1;1;201310;454;AS;F8;1
487235;OB1;1;201310;294;AA;C1;10
487346;OB2;1;201310;515;AA;C1;10
487360;OB1;1;201310;295;AA;C1;8
487399;OB2;1;201310;136;AS;C1;6
487416;OB1;1;201310;641;AA;C1;4
487432;OB1;1;201310;516;AA;C1;10
487468;OB2;1;201310;140;AS;F1;9
487487;OB1;1;201310;618;AA;C1;10
487561;OB1;1;201310;645;AS;C1;9
487634;OB1;2;201310;39;AA;C1;6
487642;OB1;1;201310;395;AS;C1;10
487709;OB2;1;201311;827;AS;F1;3
487768;OB2;1;201311;193;AA;C1;10
487769;OB1;1;201311;434;AA;C1;15
487771;OB1;1;201311;543;AA;C1;15
487808;OB2;1;201311;224;AS;C1;10
487853;OB1;1;201311;154;AS;C1;3
487877;OB1;1;201311;324;AA;C1;10
487883;OB1;1;201311;386;AA;C1;6
487915;OB2;1;201311;427;AS;F1;9
487916;OB2;1;201311;240;AS;C7;9
