NUM_CORR_ACI;SIGLA_ACO;TEMP_INTER_SUBLANCA_LD;P;PS_TA;fam_TA
502618;7PMBAS010000135099;1537;5.48;2000;media
502140;FVZ1AA000150064099;1576;26.365;0;min
501246;9GJKAS003000120099;1564;3.82;0;min
500999;MBA2AA000150010099;1617;13.805;0;min
502931;GXCCAS016000145099;1623;21.41;0;min
500903;ZMREAS008000160099;1576;9.16;0;min
496715;TJCEAS018000070099;1624;15.39;2100;media
500643;JYCHAS0160001060X9;1607;16.04;0;min
500517;AUCCAS0240001550X9;1640;25.31;2000;media
500839;9GJKAS003000120099;1650;4.41;0;min
498762;73CBAA010000150099;1598;16.82;2000;media
496672;DGC2AA003000021099;1574;10.605;8100;max
502916;MBA2AA000150010099;1592;11.46;7900;max
502558;WOMAAS008000150099;1666;10.015;0;min
501500;PLZ1AS000150105099;1601;15.975;0;min
497451;32Z2AA000190056099;1606;24.345;0;min
497713;AAC3AA0040000210X9;1594;17.6;2100;media
498329;7PMBAS010000135099;1602;10.995;0;min
502723;81CDAS010000156099;1606;14.07;2100;media
497947;7PMBAS010000135099;1640;10.8;0;min
501303;QFCDAC016000106099;1603;12.725;2100;media
498165;AAC2AA0090000460X9;1586;10.89;0;min
498703;WOMAAS008000150099;1615;10.27;2000;media
502557;WOMAAS008000150099;1617;11.395;0;min
500893;FVZ1AA000150064099;1574;17.13;0;min
502274;MBA2AA000150010099;1571;15.125;0;min
498167;9LMEAS007000180099;1566;6.82;2000;media
498269;KHCEAA0160000360X9;1608;19.975;2000;media
500788;YUCBAA007000153099;1641;12.49;0;min
496608;JYCHAS0240001060X9;1632;17.745;0;min
498688;DDC1AA0160000560X9;1679;35.96;2100;media
498699;24JDAA000100010099;1583;10.07;1900;media
502122;AAC3AA0040000210X9;1584;13.47;0;min
500619;9GJKAS003000120099;1587;4.335;0;min
500930;AAC2AA0110000400X9;1620;11.865;8100;max
496537;24JDAA000100010099;1639;16.36;2000;media
502962;TGCDAA008000061099;1604;19.84;2000;media
498677;WOMAAS008000150099;1605;14.035;0;min
501417;GXCHAS018000145099;1578;19.075;0;min
498068;WOMAAS008000150099;1614;12.775;0;min
496709;DDC1AA0160000360X9;1591;15.985;0;min
502813;FVZ1AA000150064099;1594;18.06;2000;media
501839;MBA2AA000150010099;1588;11.56;7900;max
497447;55Z2AA000180070099;1617;15.395;8000;max
501746;EWZBAA006000120099;1644;14.295;0;min
496841;MBA2AA000150010099;1618;12.64;0;min
501040;TNZ2AA000180056099;1584;13.41;2100;media
498584;NPCCAS008000136099;1624;13.89;2100;media
501184;MBA2AA000150010099;1619;7.185;2000;media
496907;DGC2AA006000040099;1661;27.75;0;min
502799;24JDAA000100010099;1609;14.145;1900;media
502279;GWCHAA008000086099;1612;23.42;0;min
502209;VJQ1AA000150015099;1581;15.965;2100;media
498437;24JDAA000100010099;1557;15.585;2100;media
497997;9GJKAS003000120099;1568;4.545;0;min
500841;9GJKAS003000120099;1585;3.475;0;min
502973;KHCEAA0160000360X9;1618;17.795;2100;media
502800;24JDAA000100010099;1597;15.78;1900;media
497630;LQC1AA006000066099;1577;11.35;0;min
496456;BXCDAS016000150099;1591;14.04;2000;media
501925;GWCHAA008000086099;1614;9.705;2000;media
498476;WOMAAS008000150099;1584;10.7;2100;media
497811;84D1AS000150050099;1651;16.1;8100;max
501061;7KMEAS007000180099;1594;12.085;2000;media
500377;MBA2AA000150010099;1600;8.91;8000;max
502621;7PMBAS010000135099;1587;9.565;0;min
498196;62D2AC0030000260X9;1663;20.3;0;min
496817;DZCDAS016000115099;1540;13.265;0;min
497669;ILI1AS0460000660X9;1607;15.885;0;min
502055;RJZHAS014000130099;1658;30.425;7900;max
501971;TNZ2AA000180056099;1596;21.655;7900;max
498458;GXCHAS018000145099;1627;13.44;0;min
501560;KHCEAA0160000560X9;1626;10.795;2100;media
502450;62D2AC0030000260X9;1624;15.425;0;min
502481;AAC2AA0090000460X9;1594;14.215;0;min
500803;LQC1AA006000066099;1674;14.21;0;min
498151;BXCDAS016000150099;1640;21.2;0;min
497706;9GJKAS003000120099;1617;5.225;0;min
500904;ZMREAS008000160099;1604;11.995;0;min
500442;81CDAS010000156099;1649;16.325;2100;media
502848;24JDAA000100010099;1640;14.225;1900;media
498727;WOMAAS008000150099;1626;7.57;2000;media
496464;AACHAA0120000420X9;1569;9.12;7900;max
496904;DDCHAA0090000360X9;1667;13.915;0;min
497186;JYCHAS0220001010X9;1613;11.28;1900;media
500693;9GJKAS003000120099;1540;6.08;0;min
500545;KHCEAA0160000360X9;1623;15.7;0;min
498849;NPCCAS008000136099;1579;11.51;2100;media
496671;DGC2AA003000021099;1691;13.42;8100;max
498179;VJQ1AA000150015099;1610;17.82;0;min
498570;DDCHAA0090000360X9;1590;13.09;0;min
498241;24JDAA000100010099;1599;14.055;2000;media
502519;8EMAAS008000155099;1659;13.665;0;min
498298;7CBBAS012000115099;1683;8.43;0;min
502692;24JDAA000100010099;1641;12.38;0;min
496668;YUCBAA007000153099;1619;13.385;0;min
500860;9GJKAS003000120099;1603;4.42;2000;media
502205;WOMAAS008000150099;1559;7.235;2100;media
500683;VQB2AA017000075099;1601;15.7;0;min
501735;ZMREAS008000160099;1583;7.25;0;min
500916;DDC1AA0120000860X9;1606;9.175;8100;max
501643;JYCHAS0160001060X9;1581;10.315;8100;max
496910;VJQ1AA000150015099;1581;13.625;0;min
497464;YUCBAA007000153099;1578;12.915;8000;max
498160;MBA2AA000150010099;1612;11.32;2100;media
497201;JYCHAS0140000860X9;1609;35.745;8100;max
497332;YUCBAA009000153099;1689;12.54;8000;max
498657;WOMAAS008000150099;1515;7.805;2100;media
501052;VJQ1AA000150015099;1678;16.02;0;min
501616;VJQ1AA000150015099;1552;8.265;8100;max
502332;24JDAA000100010099;1595;11.43;1900;media
502039;TGCDAA008000086099;1613;17.925;0;min
497575;ILICAS0460000660X9;1650;25.69;1900;media
498913;DGC2AA003000021099;1565;11.025;8100;max
498842;GXCAAS018000145099;1617;17.75;2100;media
497948;7PMBAS010000135099;1584;8.485;0;min
496891;DDC1AA0120000860X9;1688;15.44;1900;media
502669;24JDAA000100010099;1635;8.87;2000;media
501790;24JDAA000100010099;1578;16.55;0;min
497016;WCMEAS027000125099;1612;8.555;0;min
498279;24JDAA000100010099;1604;14.455;2000;media
500666;LQC1AA006000066099;1610;10.89;0;min
500779;31Z2AA000240026099;1636;25.71;8000;max
501588;FVZ1AA000150064099;1584;17.11;7900;max
501672;HURGAS009000150099;1570;9.85;2000;media
502720;QECDAA0070000360X9;1566;11.63;2100;media
497782;VJQ1AA000150015099;1594;7.665;0;min
496725;ABC1AS0130001060X9;1566;12.91;0;min
502357;MBA2AA000150010099;1565;9.59;2100;media
500513;AUCCAS0240001550X9;1576;19.245;8000;max
501451;24JDAA000100010099;1553;7.355;2000;media
500553;PLZ1AS000150105099;1618;14.855;0;min
497995;9GJKAS003000120099;1554;6.44;0;min
500696;9GJKAS003000120099;1620;5.74;2000;media
498109;24JDAA000100010099;1563;11.69;1900;media
496552;LQC1AA006000066099;1599;11.17;7900;max
502420;RJZHAS012000120099;1582;16.59;7900;max
500637;JYCCAS0160001260X9;1603;11.8;0;min
498292;24JDAA000100010099;1684;15.275;0;min
500986;ZMREAS008000160099;1583;12.795;2000;media
498360;81CDAS010000156099;1611;13.585;1900;media
497652;JYCHAS0140000860X9;1618;12.28;0;min
496861;MBA2AA000150010099;1610;10.755;0;min
498252;MBA2AA000150010099;1577;9.28;7900;max
502439;WOMAAS008000150099;1619;9.565;0;min
498826;LQC1AA006000066099;1655;17.015;2000;media
501213;DGC2AA006000040099;1574;8.9;0;min
502184;24JDAA000100010099;1573;10.85;2100;media
500936;9GJKAS003000120099;1579;4.675;0;min
497162;GXCHAS018000145099;1598;12.325;7900;max
497567;61CCAS015000220099;1573;9.18;0;min
500955;24JDAA000100010099;1614;10.91;1900;media
