"NUM_CORR_ACI";"COD_LOCAL_EVENTO_ACI";"NUM_TRAT_ACO_PAN";"MES";"AL_CAS";"GRAU";"TRAT";"S_MAX";"family"
"4";486368;"OB1";1;201309;251;"AA";"C1";10;"AA-C1-10"
"5";486375;"OB2";1;201309;224;"AA";"C1";10;"AA-C1-10"
"8";486481;"OB1";1;201309;211;"AA";"C1";10;"AA-C1-10"
"9";486484;"OB1";1;201309;0;"AA";"C1";10;"AA-C1-10"
"15";486585;"OB1";1;201309;431;"AA";"C1";10;"AA-C1-10"
"26";486789;"OB2";1;201309;418;"AA";"C1";10;"AA-C1-10"
"29";486881;"OB1";1;201309;296;"AA";"C1";10;"AA-C1-10"
"31";486964;"OB1";1;201310;696;"AA";"C1";10;"AA-C1-10"
"32";487040;"OB2";1;201310;66;"AA";"C1";10;"AA-C1-10"
"38";487158;"OB1";1;201310;491;"AA";"C1";10;"AA-C1-10"
"39";487163;"OB1";1;201310;251;"AA";"C1";10;"AA-C1-10"
"40";487165;"OB2";1;201310;303;"AA";"C1";10;"AA-C1-10"
"42";487235;"OB1";1;201310;294;"AA";"C1";10;"AA-C1-10"
"43";487346;"OB2";1;201310;515;"AA";"C1";10;"AA-C1-10"
"47";487432;"OB1";1;201310;516;"AA";"C1";10;"AA-C1-10"
"49";487487;"OB1";1;201310;618;"AA";"C1";10;"AA-C1-10"
"54";487768;"OB2";1;201311;193;"AA";"C1";10;"AA-C1-10"
"59";487877;"OB1";1;201311;324;"AA";"C1";10;"AA-C1-10"
"65";488050;"OB1";1;201311;269;"AA";"C1";10;"AA-C1-10"
"72";488228;"OB1";1;201311;273;"AA";"C1";10;"AA-C1-10"
"83";488413;"OB1";1;201312;214;"AA";"C1";10;"AA-C1-10"
"86";488471;"OB2";1;201312;321;"AA";"C1";10;"AA-C1-10"
"87";488505;"OB2";1;201312;356;"AA";"C1";10;"AA-C1-10"
"88";488526;"OB1";1;201312;159;"AA";"C1";10;"AA-C1-10"
"89";488529;"OB2";1;201312;0;"AA";"C1";10;"AA-C1-10"
"92";488565;"OB2";1;201312;145;"AA";"C1";10;"AA-C1-10"
"97";488700;"OB2";1;201312;373;"AA";"C1";10;"AA-C1-10"
"98";488730;"OB1";1;201312;321;"AA";"C1";10;"AA-C1-10"
"99";488734;"OB2";1;201312;226;"AA";"C1";10;"AA-C1-10"
"105";488954;"OB2";1;201401;231;"AA";"C1";10;"AA-C1-10"
"111";489104;"OB2";1;201401;388;"AA";"C1";10;"AA-C1-10"
"124";489384;"OB1";1;201401;170;"AA";"C1";10;"AA-C1-10"
"125";489406;"OB2";1;201401;57;"AA";"C1";10;"AA-C1-10"
"131";489466;"OB2";1;201401;540;"AA";"C1";10;"AA-C1-10"
"135";489567;"OB2";1;201401;134;"AA";"C1";10;"AA-C1-10"
"137";489822;"OB2";1;201402;233;"AA";"C1";10;"AA-C1-10"
"139";489934;"OB2";1;201402;125;"AA";"C1";10;"AA-C1-10"
"151";490166;"OB1";1;201402;251;"AA";"C1";10;"AA-C1-10"
"152";490180;"OB2";1;201402;746;"AA";"C1";10;"AA-C1-10"
"161";490350;"OB1";1;201402;409;"AA";"C1";10;"AA-C1-10"
"162";490351;"OB2";1;201402;285;"AA";"C1";10;"AA-C1-10"
"165";490490;"OB2";1;201403;157;"AA";"C1";10;"AA-C1-10"
"169";490587;"OB1";1;201403;410;"AA";"C1";10;"AA-C1-10"
