"lb";"s";"temperatura";"sucata"
"1";"3 max";8.935;1550;8
"2";"3 max";5.62;1550;8
"3";"3 max";7.09;1550;8
"4";"3 max";9.295;1550;8
"5";"3 max";8.7;1550;8
"6";"3 max";11.925;1550;8
"7";"3 max";10.22;1550;8
"8";"3 max";14.07;1550;8
"9";"3 max";15.575;1550;8
"10";"3 max";14.23;1550;8
"11";"3 media";8.02;1550;2
"12";"3 media";6.54;1550;2
"13";"3 media";10.34;1550;2
"14";"3 media";21.705;1550;2
"15";"3 media";10.96;1550;2
"16";"3 media";7.05;1550;2
"17";"3 media";7.875;1550;2
"18";"3 media";14.245;1550;2
"19";"3 media";21.145;1550;2
"20";"3 media";9.215;1550;2
"21";"3 min";8.57;1550;0
"22";"3 min";12.12;1550;0
"23";"3 min";9.2;1550;0
"24";"3 min";10.3;1550;0
"25";"3 min";13.5;1550;0
"26";"3 min";7.53;1550;0
"27";"3 min";12;1550;0
"28";"3 min";9.465;1550;0
"29";"3 min";8.47;1550;0
"30";"3 min";11.29;1550;0
"31";"5 max";18.26;1590;8
"32";"5 max";13.26;1590;8
"33";"5 max";13.925;1590;8
"34";"5 max";10.955;1590;8
"35";"5 max";30.65;1590;8
"36";"5 max";11.8;1590;8
"37";"5 max";22.46;1590;8
"38";"5 max";11.03;1590;8
"39";"5 max";12.325;1590;8
"40";"5 max";23.995;1590;8
"41";"5 media";14.435;1590;2
"42";"5 media";12.085;1590;2
"43";"5 media";11.43;1590;2
"44";"5 media";10.16;1590;2
"45";"5 media";16.975;1590;2
"46";"5 media";15.965;1590;2
"47";"5 media";7.62;1590;2
"48";"5 media";13.96;1590;2
"49";"5 media";11.21;1590;2
"50";"5 media";16.82;1590;2
"51";"5 min";6.625;1590;0
"52";"5 min";15.475;1590;0
"53";"5 min";11.93;1590;0
"54";"5 min";12.225;1590;0
"55";"5 min";19.365;1590;0
"56";"5 min";8.805;1590;0
"57";"5 min";20.435;1590;0
"58";"5 min";18.39;1590;0
"59";"5 min";18.075;1590;0
"60";"5 min";13.26;1590;0
"61";"7 max";14.685;1630;8
"62";"7 max";16.065;1630;8
"63";"7 max";9.25;1630;8
"64";"7 max";15.615;1630;8
"65";"7 max";14.925;1630;8
"66";"7 max";14.04;1630;8
"67";"7 max";16.98;1630;8
"68";"7 max";25.71;1630;8
"69";"7 max";23.455;1630;8
"70";"7 max";11.865;1630;8
"71";"7 media";15.845;1630;2
"72";"7 media";17.06;1630;2
"73";"7 media";11.775;1630;2
"74";"7 media";12.97;1630;2
"75";"7 media";13.78;1630;2
"76";"7 media";20.24;1630;2
"77";"7 media";10.16;1630;2
"78";"7 media";17.745;1630;2
"79";"7 media";8.91;1630;2
"80";"7 media";13.76;1630;2
"81";"7 min";3.765;1630;0
"82";"7 min";12.585;1630;0
"83";"7 min";21.41;1630;0
"84";"7 min";8.98;1630;0
"85";"7 min";15.925;1630;0
"86";"7 min";15.77;1630;0
"87";"7 min";13.44;1630;0
"88";"7 min";13.02;1630;0
"89";"7 min";13.52;1630;0
"90";"7 min";17.815;1630;0
